geo,time,Sosiaalipalvelut â‚¬/asukas,Kunnallisvero â‚¬/asukas,Väestöllinen huoltosuhde,Väkiluku,Terveyspalvelut â‚¬/asukas,Kela-korvaukset â‚¬/asukas,Eräät sote-tulonsiirrot â‚¬/asukas,SAVA â‚¬/asukas,Pääomaverot â‚¬/asukas
HUS-SHP,2015,1052,3929,0.494469126,1614339,1632,511,396,442,565
HUS-SHP,2020,1095,3950,0.483451921,1692721,1692,520,409,442,580
HUS-SHP,2025,1160,3961,0.477711604,1762641,1773,530,421,441,590
HUS-SHP,2030,1222,3972,0.469358768,1821711,1848,539,435,440,605
HUS-SHP,2035,1297,3986,0.464743218,1870190,1923,547,446,440,623
HUS-SHP,2040,1335,3998,0.464554712,1909463,1966,552,452,441,639
Varsinais-Suomen SHP,2015,1198,3210,0.460595339,477232,1809,580,541,344,475
Varsinais-Suomen SHP,2020,1233,3209,0.444370924,484598,1872,590,577,342,481
Varsinais-Suomen SHP,2025,1304,3198,0.434808506,491409,1967,602,605,339,484
Varsinais-Suomen SHP,2030,1372,3188,0.42617674,497121,2052,611,632,337,487
Varsinais-Suomen SHP,2035,1464,3185,0.421577616,500809,2143,619,653,336,491
Varsinais-Suomen SHP,2040,1509,3185,0.423307602,502624,2185,622,655,336,500
Satakunnan SHP,2015,1344,3096,0.445747497,223381,1900,583,834,330,360
Satakunnan SHP,2020,1397,3069,0.422401821,221229,1971,593,892,325,363
Satakunnan SHP,2025,1501,3038,0.412624888,219577,2076,604,934,320,362
Satakunnan SHP,2030,1584,3015,0.403850861,217931,2158,613,968,317,362
Satakunnan SHP,2035,1698,3007,0.401854664,216023,2242,618,985,316,364
Satakunnan SHP,2040,1744,3007,0.4092092,213894,2270,619,970,317,369
Kanta-Hämeen SHP,2015,1322,2535,0.45284643,230457,1610,507,489,266,273
Kanta-Hämeen SHP,2020,1356,2519,0.432608203,233070,1660,517,524,262,275
Kanta-Hämeen SHP,2025,1422,2507,0.422565984,235272,1739,529,556,259,279
Kanta-Hämeen SHP,2030,1487,2509,0.409919314,235765,1815,540,588,258,286
Kanta-Hämeen SHP,2035,1581,2510,0.402231772,235942,1897,548,609,257,290
